Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00   393560     0.00     0.00  point::point(point const&)
  0.00      0.00     0.00   188663     0.00     0.00  point::getY()
  0.00      0.00     0.00   188581     0.00     0.00  point::getX()
  0.00      0.00     0.00   166430     0.00     0.00  point::operator==(point)
  0.00      0.00     0.00   106650     0.00     0.00  triangle::circumCircleContains(point)
  0.00      0.00     0.00    71916     0.00     0.00  edge::operator==(edge const&)
  0.00      0.00     0.00    62958     0.00     0.00  unsigned int const& std::forward<unsigned int const&>(std::remove_reference<unsigned int const&>::type&)
  0.00      0.00     0.00    53644     0.00     0.00  std::_List_base<unsigned int, std::allocator<unsigned int> >::_M_get_Node_allocator()
  0.00      0.00     0.00    52291     0.00     0.00  std::_List_iterator<unsigned int>::_List_iterator(std::__detail::_List_node_base*)
  0.00      0.00     0.00    44910     0.00     0.00  std::_List_iterator<unsigned int>::operator*() const
  0.00      0.00     0.00    43027     0.00     0.00  std::_List_iterator<unsigned int>::operator!=(std::_List_iterator<unsigned int> const&) const
  0.00      0.00     0.00    42713     0.00     0.00  point::point()
  0.00      0.00     0.00    37963     0.00     0.00  std::list<unsigned int, std::allocator<unsigned int> >::end()
  0.00      0.00     0.00    36712     0.00     0.00  boundingBox::getLowPoint()
  0.00      0.00     0.00    31704     0.00     0.00  boundingBox::getHighPoint()
  0.00      0.00     0.00    28892     0.00     0.00  std::_List_const_iterator<unsigned int>::operator!=(std::_List_const_iterator<unsigned int> const&) const
  0.00      0.00     0.00    25622     0.00     0.00  std::_List_iterator<unsigned int>::operator++()
  0.00      0.00     0.00    23364     0.00     0.00  std::_List_const_iterator<unsigned int>::_List_const_iterator(std::__detail::_List_node_base const*)
  0.00      0.00     0.00    23048     0.00     0.00  gridElement::gridElement(gridElement const&)
  0.00      0.00     0.00    21336     0.00     0.00  unsigned int&& std::forward<unsigned int>(std::remove_reference<unsigned int>::type&)
  0.00      0.00     0.00    18298     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.00     0.00    18282     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<unsigned int> >::allocate(unsigned long, void const*)
  0.00      0.00     0.00    18282     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<unsigned int> >::max_size() const
  0.00      0.00     0.00    18282     0.00     0.00  std::_List_base<unsigned int, std::allocator<unsigned int> >::_M_get_node()
  0.00      0.00     0.00    18200     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<unsigned int> >::deallocate(std::_List_node<unsigned int>*, unsigned long)
  0.00      0.00     0.00    18200     0.00     0.00  void __gnu_cxx::new_allocator<std::_List_node<unsigned int> >::destroy<std::_List_node<unsigned int> >(std::_List_node<unsigned int>*)
  0.00      0.00     0.00    18200     0.00     0.00  std::_List_base<unsigned int, std::allocator<unsigned int> >::_M_put_node(std::_List_node<unsigned int>*)
  0.00      0.00     0.00    17340     0.00     0.00  std::_List_base<unsigned int, std::allocator<unsigned int> >::_M_init()
  0.00      0.00     0.00    17276     0.00     0.00  std::_List_base<unsigned int, std::allocator<unsigned int> >::_M_clear()
  0.00      0.00     0.00    17210     0.00     0.00  std::_List_const_iterator<unsigned int>::operator++()
  0.00      0.00     0.00    14301     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<unsigned int> >::~new_allocator()
  0.00      0.00     0.00    14301     0.00     0.00  std::allocator<std::_List_node<unsigned int> >::~allocator()
  0.00      0.00     0.00    14289     0.00     0.00  std::_List_base<unsigned int, std::allocator<unsigned int> >::_List_impl::~_List_impl()
  0.00      0.00     0.00    14289     0.00     0.00  std::_List_base<unsigned int, std::allocator<unsigned int> >::~_List_base()
  0.00      0.00     0.00    14289     0.00     0.00  std::list<unsigned int, std::allocator<unsigned int> >::~list()
  0.00      0.00     0.00    14278     0.00     0.00  std::list<unsigned int, std::allocator<unsigned int> >::begin()
  0.00      0.00     0.00    12948     0.00     0.00  void __gnu_cxx::new_allocator<std::_List_node<unsigned int> >::construct<std::_List_node<unsigned int>, unsigned int const&>(std::_List_node<unsigned int>*, unsigned int const&)
  0.00      0.00     0.00    12948     0.00     0.00  std::_List_node<unsigned int>::_List_node<unsigned int const&>(unsigned int const&)
  0.00      0.00     0.00    12948     0.00     0.00  std::_List_node<unsigned int>* std::list<unsigned int, std::allocator<unsigned int> >::_M_create_node<unsigned int const&>(unsigned int const&)
  0.00      0.00     0.00    12948     0.00     0.00  void std::list<unsigned int, std::allocator<unsigned int> >::_M_insert<unsigned int const&>(std::_List_iterator<unsigned int>, unsigned int const&)
